latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
39.98394,-83.00321,1,213,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
40.01243,-83.00986,0,29,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
39.96086,-82.97968,0,100,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
40.01259,-83.00164,0,37,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
40.01259,-83.00164,0,72,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
39.95223,-82.99557,1,193,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
40.03828,-83.01838,0,85,43214,43214,13806,12682.0,1124,5.6,8097,4585,285800.0,1730.0,998,74600.0,13162.0,12323.0,839.0,5.8,7878.0,4445.0,211200.0,1575.0,823.0,76831.0,101544.0,65288.0,92175.0,59.0,1
39.947,-82.99074,1,241,43206,43206,12274,10435.0,1839,5.4,5060,5375,197400.0,1441.0,994,100300.0,12275.0,9783.0,2492.0,5.5,4491.0,5292.0,97100.0,1214.0,854.0,59082.0,63346.0,43810.0,44618.0,243.0,0
40.03689,-83.0183,0,85,43214,43214,13806,12682.0,1124,5.6,8097,4585,285800.0,1730.0,998,74600.0,13162.0,12323.0,839.0,5.8,7878.0,4445.0,211200.0,1575.0,823.0,76831.0,101544.0,65288.0,92175.0,59.0,1
40.01259,-83.00164,0,40,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
