"Label (Grouping)","ZCTA5 43002!!Total!!Estimate","ZCTA5 43002!!Median income (dollars)!!Estimate","ZCTA5 43004!!Total!!Estimate","ZCTA5 43004!!Median income (dollars)!!Estimate","ZCTA5 43016!!Total!!Estimate","ZCTA5 43016!!Median income (dollars)!!Estimate","ZCTA5 43017!!Total!!Estimate","ZCTA5 43017!!Median income (dollars)!!Estimate","ZCTA5 43026!!Total!!Estimate","ZCTA5 43026!!Median income (dollars)!!Estimate","ZCTA5 43031!!Total!!Estimate","ZCTA5 43031!!Median income (dollars)!!Estimate","ZCTA5 43035!!Total!!Estimate","ZCTA5 43035!!Median income (dollars)!!Estimate","ZCTA5 43054!!Total!!Estimate","ZCTA5 43054!!Median income (dollars)!!Estimate","ZCTA5 43062!!Total!!Estimate","ZCTA5 43062!!Median income (dollars)!!Estimate","ZCTA5 43064!!Total!!Estimate","ZCTA5 43064!!Median income (dollars)!!Estimate","ZCTA5 43065!!Total!!Estimate","ZCTA5 43065!!Median income (dollars)!!Estimate","ZCTA5 43068!!Total!!Estimate","ZCTA5 43068!!Median income (dollars)!!Estimate","ZCTA5 43081!!Total!!Estimate","ZCTA5 43081!!Median income (dollars)!!Estimate","ZCTA5 43085!!Total!!Estimate","ZCTA5 43085!!Median income (dollars)!!Estimate","ZCTA5 43109!!Total!!Estimate","ZCTA5 43109!!Median income (dollars)!!Estimate","ZCTA5 43110!!Total!!Estimate","ZCTA5 43110!!Median income (dollars)!!Estimate","ZCTA5 43119!!Total!!Estimate","ZCTA5 43119!!Median income (dollars)!!Estimate","ZCTA5 43123!!Total!!Estimate","ZCTA5 43123!!Median income (dollars)!!Estimate","ZCTA5 43125!!Total!!Estimate","ZCTA5 43125!!Median income (dollars)!!Estimate","ZCTA5 43126!!Total!!Estimate","ZCTA5 43126!!Median income (dollars)!!Estimate","ZCTA5 43137!!Total!!Estimate","ZCTA5 43137!!Median income (dollars)!!Estimate","ZCTA5 43140!!Total!!Estimate","ZCTA5 43140!!Median income (dollars)!!Estimate","ZCTA5 43146!!Total!!Estimate","ZCTA5 43146!!Median income (dollars)!!Estimate","ZCTA5 43147!!Total!!Estimate","ZCTA5 43147!!Median income (dollars)!!Estimate","ZCTA5 43201!!Total!!Estimate","ZCTA5 43201!!Median income (dollars)!!Estimate","ZCTA5 43202!!Total!!Estimate","ZCTA5 43202!!Median income (dollars)!!Estimate","ZCTA5 43203!!Total!!Estimate","ZCTA5 43203!!Median income (dollars)!!Estimate","ZCTA5 43204!!Total!!Estimate","ZCTA5 43204!!Median income (dollars)!!Estimate","ZCTA5 43205!!Total!!Estimate","ZCTA5 43205!!Median income (dollars)!!Estimate","ZCTA5 43206!!Total!!Estimate","ZCTA5 43206!!Median income (dollars)!!Estimate","ZCTA5 43207!!Total!!Estimate","ZCTA5 43207!!Median income (dollars)!!Estimate","ZCTA5 43209!!Total!!Estimate","ZCTA5 43209!!Median income (dollars)!!Estimate","ZCTA5 43210!!Total!!Estimate","ZCTA5 43210!!Median income (dollars)!!Estimate","ZCTA5 43211!!Total!!Estimate","ZCTA5 43211!!Median income (dollars)!!Estimate","ZCTA5 43212!!Total!!Estimate","ZCTA5 43212!!Median income (dollars)!!Estimate","ZCTA5 43213!!Total!!Estimate","ZCTA5 43213!!Median income (dollars)!!Estimate","ZCTA5 43214!!Total!!Estimate","ZCTA5 43214!!Median income (dollars)!!Estimate","ZCTA5 43215!!Total!!Estimate","ZCTA5 43215!!Median income (dollars)!!Estimate","ZCTA5 43217!!Total!!Estimate","ZCTA5 43217!!Median income (dollars)!!Estimate","ZCTA5 43219!!Total!!Estimate","ZCTA5 43219!!Median income (dollars)!!Estimate","ZCTA5 43220!!Total!!Estimate","ZCTA5 43220!!Median income (dollars)!!Estimate","ZCTA5 43221!!Total!!Estimate","ZCTA5 43221!!Median income (dollars)!!Estimate","ZCTA5 43222!!Total!!Estimate","ZCTA5 43222!!Median income (dollars)!!Estimate","ZCTA5 43223!!Total!!Estimate","ZCTA5 43223!!Median income (dollars)!!Estimate","ZCTA5 43224!!Total!!Estimate","ZCTA5 43224!!Median income (dollars)!!Estimate","ZCTA5 43227!!Total!!Estimate","ZCTA5 43227!!Median income (dollars)!!Estimate","ZCTA5 43228!!Total!!Estimate","ZCTA5 43228!!Median income (dollars)!!Estimate","ZCTA5 43229!!Total!!Estimate","ZCTA5 43229!!Median income (dollars)!!Estimate","ZCTA5 43230!!Total!!Estimate","ZCTA5 43230!!Median income (dollars)!!Estimate","ZCTA5 43231!!Total!!Estimate","ZCTA5 43231!!Median income (dollars)!!Estimate","ZCTA5 43232!!Total!!Estimate","ZCTA5 43232!!Median income (dollars)!!Estimate","ZCTA5 43235!!Total!!Estimate","ZCTA5 43235!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","1,567","81,949","9,074","66,633","13,978","87,158","14,255","98,023","21,992","77,013","4,755","71,688","8,695","105,977","8,467","109,764","10,143","73,545","4,921","76,384","14,113","115,542","21,206","56,612","23,195","72,250","10,211","76,190","40","46,250","13,253","65,933","9,943","61,410","23,044","63,567","5,403","60,275","159","39,375","637","58,917","7,645","57,598","3,243","70,417","13,664","87,158","11,508","25,322","9,707","45,152","3,429","20,904","15,560","40,729","5,205","30,491","9,783","43,810","17,185","38,842","11,566","53,134","279","16,326","8,079","23,710","9,693","58,080","13,916","34,610","12,323","65,288","8,170","52,178","767","34,769","10,867","33,473","11,857","60,412","13,150","85,095","1,307","21,083","8,524","29,167","16,274","33,487","8,841","34,483","21,228","40,214","20,011","38,004","22,120","70,618","7,812","46,974","17,430","36,425","17,941","66,141"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","87.8%","83,250","67.8%","74,657","74.5%","86,839","83.5%","102,353","89.1%","77,455","98.6%","71,750","83.0%","108,097","83.8%","109,220","95.0%","72,747","95.5%","75,229","89.7%","114,222","68.0%","58,679","83.1%","73,129","88.7%","77,527","100.0%","46,250","75.1%","71,941","86.7%","63,898","93.6%","63,873","84.3%","63,382","100.0%","39,375","100.0%","58,917","93.9%","58,902","96.5%","69,941","83.7%","87,858","74.6%","27,698","79.9%","53,052","22.4%","39,543","81.4%","41,554","30.4%","45,865","57.8%","59,702","68.0%","41,301","65.8%","70,485","36.2%","15,694","28.8%","30,320","90.6%","61,658","50.5%","37,821","92.6%","69,005","77.3%","62,426","79.7%","33,424","21.8%","36,680","86.4%","63,207","91.2%","88,011","75.7%","21,556","72.9%","35,302","54.6%","40,228","30.6%","40,593","80.8%","44,203","52.8%","42,351","80.6%","71,761","60.7%","51,176","40.4%","40,361","85.1%","66,767"
"        Black or African American","3.1%","-","24.8%","55,176","4.0%","62,036","3.3%","63,824","3.9%","31,129","0.6%","(X)","5.6%","(X)","5.6%","112,792","3.6%","91,042","1.2%","116,198","2.9%","90,234","26.0%","51,996","9.0%","52,545","5.0%","62,077","0.0%","-","22.0%","43,856","5.4%","34,242","3.4%","48,782","11.9%","43,942","0.0%","-","0.0%","-","2.9%","32,159","0.0%","-","12.3%","95,809","13.0%","16,817","3.8%","17,368","68.8%","18,299","12.1%","38,023","60.7%","24,071","38.6%","29,935","26.6%","31,267","29.8%","34,955","1.8%","-","63.2%","21,963","3.2%","13,533","40.7%","30,612","3.4%","(X)","13.6%","13,386","14.3%","58,182","71.0%","30,802","3.3%","41,891","2.4%","53,713","15.6%","20,337","21.2%","17,108","38.0%","25,913","58.5%","30,805","13.8%","21,644","39.2%","33,066","14.7%","63,322","34.9%","40,532","55.4%","33,685","4.3%","53,550"
"        American Indian and Alaska Native","0.0%","-","0.0%","-","0.1%","-","0.1%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.2%","-","0.2%","-","0.2%","118,375","0.1%","41,406","0.4%","93,571","0.1%","-","0.0%","-","0.0%","-","0.3%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.7%","31,750","0.0%","-","0.4%","-","1.0%","16,316","0.1%","-","0.0%","-","0.2%","(X)","0.6%","(X)","0.2%","-","0.2%","(X)","0.4%","(X)","0.0%","-","0.4%","(X)","0.0%","-","0.5%","(X)","0.1%","-","0.4%","-","0.0%","-","0.7%","19,537","0.0%","-","0.3%","-","3.1%","-","0.2%","-","0.3%","-","0.5%","(X)","0.0%","-","0.3%","21,875","0.1%","-","0.0%","-","0.5%","(X)","0.2%","58,403"
"        Asian","1.4%","-","3.0%","71,656","19.3%","94,302","10.8%","84,191","5.3%","95,633","0.2%","-","9.3%","103,661","7.0%","113,021","0.5%","-","2.4%","222,712","6.6%","129,095","2.6%","55,139","4.3%","83,063","3.1%","89,063","0.0%","-","1.3%","68,200","2.1%","87,188","1.4%","80,507","1.5%","(X)","0.0%","-","0.0%","-","1.1%","100,842","2.4%","250,000+","2.0%","59,335","7.0%","17,059","11.6%","19,318","1.1%","2,500-","2.5%","48,920","1.1%","(X)","0.8%","56,618","1.3%","66,012","0.7%","(X)","62.0%","16,302","0.7%","(X)","5.0%","40,924","1.1%","74,276","1.7%","46,667","4.0%","54,868","0.0%","-","1.8%","78,977","8.2%","52,738","4.9%","71,875","0.0%","-","1.7%","41,962","3.6%","24,128","1.4%","56,711","2.0%","53,261","2.5%","28,952","2.6%","91,164","2.3%","41,594","0.7%","(X)","7.2%","72,351"
"        Native Hawaiian and Other Pacific Islander","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.4%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.2%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.2%","-","0.1%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.1%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.1%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.3%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.0%","-","0.4%","-"
"        Some other race","0.0%","-","1.7%","-","0.5%","-","0.4%","(X)","0.5%","26,607","0.0%","-","1.0%","34,093","1.0%","-","0.1%","-","0.0%","-","0.2%","151,111","1.5%","37,083","0.7%","43,632","0.7%","36,435","0.0%","-","0.5%","(X)","1.9%","(X)","0.4%","(X)","0.3%","-","0.0%","-","0.0%","-","0.1%","-","0.0%","-","0.5%","83,828","0.8%","45,326","0.6%","56,154","0.1%","-","2.0%","25,069","1.1%","34,152","0.4%","250,000+","1.9%","48,015","1.2%","35,833","0.0%","-","1.5%","30,337","0.3%","(X)","4.1%","34,063","0.4%","35,950","1.1%","36,700","0.0%","-","1.8%","40,139","0.8%","38,917","0.5%","84,954","2.1%","-","0.8%","(X)","0.9%","30,750","4.4%","25,990","1.2%","33,750","2.5%","38,299","0.9%","94,879","1.0%","27,500","0.3%","20,179","1.2%","23,750"
"    Two or more races","7.7%","(X)","2.7%","64,536","1.6%","58,477","1.9%","66,423","0.8%","67,578","0.6%","-","1.0%","133,882","2.6%","250,000+","0.7%","83,229","0.7%","64,375","0.4%","(X)","1.7%","52,955","2.4%","75,127","2.4%","52,168","0.0%","-","1.1%","53,143","3.8%","53,161","1.2%","66,591","2.0%","(X)","0.0%","-","0.0%","-","1.2%","(X)","1.0%","(X)","1.0%","56,806","3.6%","(X)","4.0%","23,077","7.6%","(X)","1.8%","35,893","6.2%","34,145","2.3%","(X)","1.9%","30,795","2.2%","35,694","0.0%","-","5.3%","21,518","0.9%","94,444","3.1%","32,476","1.7%","(X)","3.6%","(X)","6.0%","(X)","2.9%","37,109","1.3%","35,500","0.7%","57,222","3.5%","(X)","3.3%","(X)","2.4%","28,125","4.6%","42,000","2.2%","39,563","2.7%","34,427","1.2%","68,942","1.1%","49,125","2.6%","27,679","1.6%","54,526"
