ZCTA,Median_Household_Income_2015,Median_Family_Income_2015
43002,"81,949","80,993"
43004,"66,633","84,675"
43016,"87,158","105,824"
43017,"98,023","112,518"
43026,"77,013","95,009"
43031,"71,688","82,409"
43035,"105,977","112,276"
43054,"109,764","147,702"
43062,"73,545","78,689"
43064,"76,384","89,846"
43065,"115,542","129,804"
43068,"56,612","65,798"
43081,"72,250","88,824"
43085,"76,190","95,938"
43109,"46,250","54,375"
43110,"65,933","77,562"
43119,"61,410","66,916"
43123,"63,567","73,428"
43125,"60,275","65,542"
43126,"39,375","43,500"
43137,"58,917","52,250"
43140,"57,598","66,426"
43146,"70,417","75,095"
43147,"87,158","96,475"
43201,"25,322","51,458"
43202,"45,152","72,263"
43203,"20,904","20,208"
43204,"40,729","45,090"
43205,"30,491","32,843"
43206,"43,810","44,618"
43207,"38,842","45,006"
43209,"53,134","88,976"
43210,"16,326","21,750"
43211,"23,710","25,253"
43212,"58,080","104,098"
43213,"34,610","37,801"
43214,"65,288","92,175"
43215,"52,178","125,239"
43217,"34,769","30,114"
43219,"33,473","40,010"
43220,"60,412","92,072"
43221,"85,095","105,450"
43222,"21,083","21,215"
43223,"29,167","37,020"
43224,"33,487","39,337"
43227,"34,483","38,807"
43228,"40,214","45,543"
43229,"38,004","45,185"
43230,"70,618","87,964"
43231,"46,974","56,197"
43232,"36,425","42,005"
43235,"66,141","85,202"
