"Label (Grouping)","ZCTA5 43002!!Estimate","ZCTA5 43002!!Percent","ZCTA5 43004!!Estimate","ZCTA5 43004!!Percent","ZCTA5 43016!!Estimate","ZCTA5 43016!!Percent","ZCTA5 43017!!Estimate","ZCTA5 43017!!Percent","ZCTA5 43026!!Estimate","ZCTA5 43026!!Percent","ZCTA5 43031!!Estimate","ZCTA5 43031!!Percent","ZCTA5 43035!!Estimate","ZCTA5 43035!!Percent","ZCTA5 43054!!Estimate","ZCTA5 43054!!Percent","ZCTA5 43062!!Estimate","ZCTA5 43062!!Percent","ZCTA5 43064!!Estimate","ZCTA5 43064!!Percent","ZCTA5 43065!!Estimate","ZCTA5 43065!!Percent","ZCTA5 43068!!Estimate","ZCTA5 43068!!Percent","ZCTA5 43081!!Estimate","ZCTA5 43081!!Percent","ZCTA5 43085!!Estimate","ZCTA5 43085!!Percent","ZCTA5 43109!!Estimate","ZCTA5 43109!!Percent","ZCTA5 43110!!Estimate","ZCTA5 43110!!Percent","ZCTA5 43119!!Estimate","ZCTA5 43119!!Percent","ZCTA5 43123!!Estimate","ZCTA5 43123!!Percent","ZCTA5 43125!!Estimate","ZCTA5 43125!!Percent","ZCTA5 43126!!Estimate","ZCTA5 43126!!Percent","ZCTA5 43137!!Estimate","ZCTA5 43137!!Percent","ZCTA5 43140!!Estimate","ZCTA5 43140!!Percent","ZCTA5 43146!!Estimate","ZCTA5 43146!!Percent","ZCTA5 43147!!Estimate","ZCTA5 43147!!Percent","ZCTA5 43201!!Estimate","ZCTA5 43201!!Percent","ZCTA5 43202!!Estimate","ZCTA5 43202!!Percent","ZCTA5 43203!!Estimate","ZCTA5 43203!!Percent","ZCTA5 43204!!Estimate","ZCTA5 43204!!Percent","ZCTA5 43205!!Estimate","ZCTA5 43205!!Percent","ZCTA5 43206!!Estimate","ZCTA5 43206!!Percent","ZCTA5 43207!!Estimate","ZCTA5 43207!!Percent","ZCTA5 43209!!Estimate","ZCTA5 43209!!Percent","ZCTA5 43210!!Estimate","ZCTA5 43210!!Percent","ZCTA5 43211!!Estimate","ZCTA5 43211!!Percent","ZCTA5 43212!!Estimate","ZCTA5 43212!!Percent","ZCTA5 43213!!Estimate","ZCTA5 43213!!Percent","ZCTA5 43214!!Estimate","ZCTA5 43214!!Percent","ZCTA5 43215!!Estimate","ZCTA5 43215!!Percent","ZCTA5 43217!!Estimate","ZCTA5 43217!!Percent","ZCTA5 43219!!Estimate","ZCTA5 43219!!Percent","ZCTA5 43220!!Estimate","ZCTA5 43220!!Percent","ZCTA5 43221!!Estimate","ZCTA5 43221!!Percent","ZCTA5 43222!!Estimate","ZCTA5 43222!!Percent","ZCTA5 43223!!Estimate","ZCTA5 43223!!Percent","ZCTA5 43224!!Estimate","ZCTA5 43224!!Percent","ZCTA5 43227!!Estimate","ZCTA5 43227!!Percent","ZCTA5 43228!!Estimate","ZCTA5 43228!!Percent","ZCTA5 43229!!Estimate","ZCTA5 43229!!Percent","ZCTA5 43230!!Estimate","ZCTA5 43230!!Percent","ZCTA5 43231!!Estimate","ZCTA5 43231!!Percent","ZCTA5 43232!!Estimate","ZCTA5 43232!!Percent","ZCTA5 43235!!Estimate","ZCTA5 43235!!Percent"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,123","2,123","9,919","9,919","16,442","16,442","16,228","16,228","24,669","24,669","5,115","5,115","9,508","9,508","10,463","10,463","10,811","10,811","4,941","4,941","15,378","15,378","22,474","22,474","27,357","27,357","10,514","10,514","84","84","16,476","16,476","10,728","10,728","26,409","26,409","6,104","6,104","193","193","844","844","8,361","8,361","3,951","3,951","14,806","14,806","15,281","15,281","9,725","9,725","4,894","4,894","19,186","19,186","7,366","7,366","12,274","12,274","20,799","20,799","12,965","12,965","402","402","10,296","10,296","12,485","12,485","15,451","15,451","13,806","13,806","10,791","10,791","821","821","12,739","12,739","13,160","13,160","14,927","14,927","2,249","2,249","10,276","10,276","18,950","18,950","10,659","10,659","23,853","23,853","22,593","22,593","25,484","25,484","8,743","8,743","19,588","19,588","19,512","19,512"
"        Occupied housing units","2,111","99.4%","9,675","97.5%","15,402","93.7%","15,377","94.8%","24,166","98.0%","5,001","97.8%","9,094","95.6%","9,987","95.5%","10,320","95.5%","4,635","93.8%","14,927","97.1%","21,424","95.3%","25,850","94.5%","10,115","96.2%","84","100.0%","15,784","95.8%","10,470","97.6%","25,432","96.3%","5,948","97.4%","177","91.7%","763","90.4%","7,740","92.6%","3,635","92.0%","14,098","95.2%","13,106","85.8%","8,889","91.4%","3,758","76.8%","17,220","89.8%","5,510","74.8%","10,435","85.0%","18,656","89.7%","11,990","92.5%","192","47.8%","8,714","84.6%","11,712","93.8%","14,163","91.7%","12,682","91.9%","9,609","89.0%","678","82.6%","11,479","90.1%","12,475","94.8%","14,190","95.1%","1,956","87.0%","8,786","85.5%","17,585","92.8%","9,751","91.5%","22,188","93.0%","21,343","94.5%","24,546","96.3%","8,243","94.3%","18,329","93.6%","18,505","94.8%"
"        Vacant housing units","12","0.6%","244","2.5%","1,040","6.3%","851","5.2%","503","2.0%","114","2.2%","414","4.4%","476","4.5%","491","4.5%","306","6.2%","451","2.9%","1,050","4.7%","1,507","5.5%","399","3.8%","0","0.0%","692","4.2%","258","2.4%","977","3.7%","156","2.6%","16","8.3%","81","9.6%","621","7.4%","316","8.0%","708","4.8%","2,175","14.2%","836","8.6%","1,136","23.2%","1,966","10.2%","1,856","25.2%","1,839","15.0%","2,143","10.3%","975","7.5%","210","52.2%","1,582","15.4%","773","6.2%","1,288","8.3%","1,124","8.1%","1,182","11.0%","143","17.4%","1,260","9.9%","685","5.2%","737","4.9%","293","13.0%","1,490","14.5%","1,365","7.2%","908","8.5%","1,665","7.0%","1,250","5.5%","938","3.7%","500","5.7%","1,259","6.4%","1,007","5.2%"
"        Homeowner vacancy rate","0.0","(X)","1.3","(X)","0.0","(X)","0.9","(X)","0.3","(X)","0.0","(X)","0.5","(X)","1.1","(X)","0.6","(X)","1.6","(X)","0.3","(X)","0.8","(X)","0.8","(X)","0.7","(X)","0.0","(X)","0.5","(X)","0.8","(X)","1.2","(X)","0.2","(X)","0.0","(X)","0.0","(X)","1.3","(X)","2.7","(X)","1.4","(X)","2.0","(X)","1.4","(X)","2.9","(X)","2.0","(X)","4.4","(X)","3.0","(X)","0.5","(X)","0.0","(X)","-","(X)","3.2","(X)","0.2","(X)","3.8","(X)","1.2","(X)","0.0","(X)","0.0","(X)","1.9","(X)","1.5","(X)","0.0","(X)","5.9","(X)","1.8","(X)","0.7","(X)","2.6","(X)","0.2","(X)","0.0","(X)","0.9","(X)","0.0","(X)","0.7","(X)","0.5","(X)"
"        Rental vacancy rate","0.0","(X)","0.0","(X)","8.5","(X)","3.7","(X)","4.1","(X)","0.0","(X)","3.6","(X)","4.5","(X)","1.2","(X)","5.7","(X)","3.9","(X)","4.3","(X)","4.3","(X)","0.8","(X)","0.0","(X)","4.0","(X)","3.6","(X)","4.4","(X)","0.4","(X)","0.0","(X)","4.3","(X)","3.5","(X)","23.7","(X)","11.9","(X)","5.3","(X)","6.2","(X)","6.6","(X)","7.1","(X)","2.8","(X)","3.8","(X)","1.5","(X)","3.0","(X)","45.6","(X)","0.6","(X)","4.4","(X)","2.6","(X)","6.2","(X)","6.2","(X)","8.7","(X)","6.7","(X)","3.7","(X)","4.6","(X)","2.0","(X)","9.9","(X)","4.4","(X)","3.3","(X)","7.8","(X)","1.4","(X)","4.0","(X)","3.9","(X)","3.8","(X)","4.8","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,123","2,123","9,919","9,919","16,442","16,442","16,228","16,228","24,669","24,669","5,115","5,115","9,508","9,508","10,463","10,463","10,811","10,811","4,941","4,941","15,378","15,378","22,474","22,474","27,357","27,357","10,514","10,514","84","84","16,476","16,476","10,728","10,728","26,409","26,409","6,104","6,104","193","193","844","844","8,361","8,361","3,951","3,951","14,806","14,806","15,281","15,281","9,725","9,725","4,894","4,894","19,186","19,186","7,366","7,366","12,274","12,274","20,799","20,799","12,965","12,965","402","402","10,296","10,296","12,485","12,485","15,451","15,451","13,806","13,806","10,791","10,791","821","821","12,739","12,739","13,160","13,160","14,927","14,927","2,249","2,249","10,276","10,276","18,950","18,950","10,659","10,659","23,853","23,853","22,593","22,593","25,484","25,484","8,743","8,743","19,588","19,588","19,512","19,512"
"        1-unit, detached","983","46.3%","7,145","72.0%","7,385","44.9%","9,972","61.4%","15,481","62.8%","4,186","81.8%","7,135","75.0%","6,319","60.4%","8,473","78.4%","4,017","81.3%","12,718","82.7%","13,109","58.3%","15,338","56.1%","6,723","63.9%","45","53.6%","8,948","54.3%","8,441","78.7%","18,535","70.2%","3,500","57.3%","164","85.0%","598","70.9%","6,393","76.5%","3,664","92.7%","12,381","83.6%","3,402","22.3%","3,346","34.4%","1,758","35.9%","12,323","64.2%","2,837","38.5%","7,352","59.9%","15,226","73.2%","7,552","58.2%","0","0.0%","8,200","79.6%","3,449","27.6%","6,150","39.8%","8,765","63.5%","603","5.6%","74","9.0%","7,573","59.4%","5,167","39.3%","10,318","69.1%","1,020","45.4%","7,039","68.5%","10,812","57.1%","7,367","69.1%","11,296","47.4%","9,608","42.5%","13,340","52.3%","4,427","50.6%","9,756","49.8%","8,664","44.4%"
"        1-unit, attached","794","37.4%","1,044","10.5%","1,492","9.1%","2,612","16.1%","3,097","12.6%","112","2.2%","678","7.1%","1,053","10.1%","220","2.0%","277","5.6%","1,752","11.4%","1,381","6.1%","3,661","13.4%","1,312","12.5%","0","0.0%","1,421","8.6%","227","2.1%","2,114","8.0%","345","5.7%","0","0.0%","6","0.7%","197","2.4%","7","0.2%","662","4.5%","1,689","11.1%","1,106","11.4%","552","11.3%","1,500","7.8%","1,039","14.1%","1,550","12.6%","889","4.3%","956","7.4%","5","1.2%","448","4.4%","1,184","9.5%","1,935","12.5%","508","3.7%","666","6.2%","149","18.1%","424","3.3%","1,798","13.7%","1,191","8.0%","170","7.6%","655","6.4%","531","2.8%","418","3.9%","1,851","7.8%","1,609","7.1%","2,879","11.3%","851","9.7%","1,153","5.9%","2,866","14.7%"
