ZVTA,2020_Total_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Owner_Occupied_Units,2020_Rental_Occupied Units,2020_Median_Value,2020_Median_Monthly_Costs,2020_Median_Rent
43002,2123,2111,12,5.2,1398,713,190900,1575,1478
43004,9919,9675,244,6.2,7619,2056,209300,1637,968
43016,16442,15402,1040,5.3,8160,7242,329200,2286,1204
43017,16228,15377,851,7.1,10487,4890,371000,2461,1243
43026,24669,24166,503,6.1,16882,7284,234700,1774,1166
43031,5115,5001,114,6.6,4004,997,267500,1629,965
43035,9508,9094,414,7.6,7365,1729,338600,2311,1217
43054,10463,9987,476,6.6,6871,3116,372300,2410,1393
43062,10811,10320,491,6.5,8241,2079,211300,1584,1126
43064,4941,4635,306,6.7,4001,634,290100,1867,974
43065,15378,14927,451,8,13597,1330,348100,2283,1140
43068,22474,21424,1050,5.7,12422,9002,163800,1409,986
43081,27357,25850,1507,5.9,16565,9285,218200,1599,1161
43085,10514,10115,399,6.4,7236,2879,274300,1794,1150
43109,84,84,0,5.4,40,44,157100,1525,949
43110,16476,s,692,5.5,9310,6474,182000,1459,998
43119,10728,10470,258,6.1,7790,2680,166800,1366,1063
43123,26409,25432,977,6.2,18881,6551,183400,1483,1075
43125,6104,5948,156,5.3,3309,2639,167600,1416,971
43126,193,177,16,6,117,60,122000,1414,1028
43137,844,763,81,5.5,612,151,134500,1322,823
43140,8361,7740,621,5.9,5588,2152,169100,1334,808
43146,3951,3635,316,6.3,3168,467,242000,1719,740
43147,14806,14098,708,7.7,12188,1910,233400,1732,1304
43201,15281,13106,2175,4.4,2215,10891,258900,1747,1094
43202,9725,8889,836,4.9,2712,6177,246800,1613,976
43203,4894,3758,1136,5.2,1224,2534,188900,1149,744
43204,19186,17220,1966,5.4,8651,8569,117300,1102,935
43205,7366,5510,1856,5.6,1949,3561,211600,1492,755
43206,12274,10435,1839,5.4,5060,5375,197400,1441,994
43207,20799,18656,2143,5.4,11435,7221,102700,1087,908
43209,12965,11990,975,5.8,6785,5205,284300,1780,885
43210,402,192,210,2.8,0,192,-,-,623
43211,10296,8714,1582,5.2,3464,5250,58200,795,871
43212,12485,11712,773,4.4,3950,7762,381300,2205,1151
43213,15451,14163,1288,4.8,5289,8874,125600,1135,872
43214,13806,12682,1124,5.6,8097,4585,285800,1730,998
43215,10791,9609,1182,3.3,1891,7718,324000,1975,1215
43217,821,678,143,5.1,52,626,37800,850,897
43219,12739,11479,1260,5.2,5158,6321,114500,1214,960
43220,13160,12475,685,5.4,6259,6216,355500,2139,1032
43221,14927,14190,737,6.3,10010,4180,306300,2055,1244
43222,2249,1956,293,5,401,1555,68300,1540,554
43223,10276,8786,1490,5.3,4179,4607,84700,1026,845
43224,18950,17585,1365,5,8324,9261,103200,983,827
43227,10659,9751,908,5.3,4742,5009,86300,922,898
43228,23853,22188,1665,4.9,10782,11406,135500,1245,943
43229,22593,21343,1250,5,8495,12848,143000,1232,879
43230,25484,24546,938,5.8,14855,9691,204000,1542,1140
43231,8743,8243,500,5.3,4227,4016,156500,1300,981
43232,19588,18329,1259,5.2,7304,11025,104700,1129,864
43235,19512,18505,1007,5.5,10358,8147,256900,1800,1178
