id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,213,1,605,2022-09-11,4.54,3,161,110,2022-2475
543140,Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,29,3,123,2022-08-29,1.00,3,263,16,2019-1344
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,100,2,272,2022-09-18,2.21,1,353,30,2019-1230
923248,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,37,1,286,2022-09-04,2.45,9,359,45,2019-1314
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,72,1,63,2022-06-19,0.57,9,352,7,2019-1314
1183297,Hannah's Haus**Prime location in German Village**,235498219,Jessica,,Near South,39.95223,-82.99557,Entire home/apt,193,2,51,2022-09-11,4.41,1,130,51,
1217678,Comfortable rooms in Clintonville 1,5707733,Russell And Douglas,,Clintonville,40.03828,-83.01838,Private room,85,1,209,2022-08-28,1.86,2,336,30,2019-2104
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,241,3,162,2022-09-11,1.47,1,334,16,2019-1888
1336145,Comfortable rooms in Clintonville 2,5707733,Russell And Douglas,,Clintonville,40.03689,-83.0183,Private room,85,1,161,2022-08-28,1.46,2,320,20,2019-2104
1520102,1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,40,1,45,2020-09-27,0.43,9,256,0,2019-1314
1763836,Charming 1BR Clintonville Apt,7785489,Nancy,,Near North/University,40.01796,-83.00267,Entire home/apt,85,4,86,2022-05-15,0.79,3,309,3,2019-1275
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743,-83.01669,Entire home/apt,180,60,36,2022-09-04,0.34,3,276,1,2019-1846
2151458,Architect’s House on the Park,10907285,Tom,,Far North,40.07986,-83.01504,Entire home/apt,175,28,29,2020-10-15,0.79,1,160,0,
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.9867,-83.01121,Entire home/apt,140,30,34,2021-11-27,0.32,3,312,7,2019-1847
2196955,Close to OSU and Riverside Hospital (30day min),11043646,Curt,,West Olentangy,40.02356,-83.03218,Private room,30,28,50,2021-08-20,0.63,3,105,0,
2227278,German Village Getaway,11366166,Tina,,Near South,39.94098,-82.98737,Entire home/apt,250,4,3,2017-10-29,0.04,1,330,0,2019-1536
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98702,-83.01136,Entire home/apt,160,60,38,2022-07-24,0.38,3,6,1,2019-1848
2349920,Eclectic Short North Escape w/FREE Parking,10776491,Catherine & Bryan,,Near North/University,39.98617,-83.00371,Entire home/apt,287,2,177,2022-09-04,1.69,4,198,36,2019-2361
3193181,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.0087,-82.97472,Entire home/apt,101,4,151,2022-08-15,1.50,5,176,4,2019-2084
3220282,"Quaint, Sunny + Stylish Vic Village Apt",6915183,Lauryn & Matt,,Near North/University,39.9831,-83.01296,Entire home/apt,165,2,11,2017-07-28,0.12,1,263,0,
3489746,Retreat in the City - River view room in our home,17572985,Leslie,,West Scioto,40.04729,-83.09825,Private room,149,1,55,2022-05-30,0.55,2,363,5,
3497601,Retreat in the city - Garden view room in our home,17572985,Leslie,,West Scioto,40.04754,-83.09845,Private room,129,1,34,2021-10-31,0.37,2,363,3,
3731977,Relaxation Near Easton - Gym & Theater Room!,18986310,Alissa,,Rocky Fork-Blacklick,40.09093,-82.88549,Private room,60,7,48,2022-07-30,0.54,1,331,4,2019-1826
3940646,The Manor-  3rd FL. Loft Apt. - Close to Downtown,19532241,Tawana,,Near East,39.9659,-82.97557,Entire home/apt,90,1,367,2022-09-05,5.57,1,51,75,2021-2912
3975468,"Serial Entrepreneur-Ship (""S.E.S"")",16184897,Toya,,South Linden,40.00899,-82.97534,Private room,55,1,65,2022-08-01,0.68,5,178,2,2019-2083
4291668,Gas FP w/ Pristine Private Entry Studio @ Polaris,11288291,Teresa And Addison,,Far North,40.1522,-82.96164,Entire home/apt,99,1,201,2022-09-16,2.13,1,310,63,
4679761,King Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01257,-83.00159,Private room,83,1,61,2022-09-04,0.80,9,346,11,2019-1314
5297763,"Comfy I, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98879,-83.00255,Entire home/apt,146,1,384,2022-09-08,4.33,12,334,91,2021-3068
5372431,No Booking Fees | CMH Airport | Easton,24503470,Erica,,Northeast,40.01048,-82.92681,Private room,68,2,149,2022-08-01,1.66,2,85,27,2019-3199
5533834,Large Short North House,28695156,Miles,,Near North/University,39.98296,-82.99871,Entire home/apt,308,2,152,2022-07-02,1.66,3,351,13,2019-1841
5820556,Extended Stay Short North Close to OSU!,119415,Douglas,,Near North/University,39.98992,-83.00427,Entire home/apt,104,28,158,2022-08-31,1.75,1,334,8,2019-1145
5854666,Nice BD/ off street parking/Shabat,25144683,Yizhar Joe,,Eastmoor/Walnut Ridge,39.96927,-82.92156,Private room,95,2,8,2019-08-11,0.11,1,363,0,
6214751,1 Bedroom Lower Level Apartment,31349526,Bill,,Near East,39.9661,-82.96512,Entire home/apt,99,1,137,2019-05-26,1.53,1,0,0,2019-1524
6391158,"Your  Home in Columbus ,Ohio 43230",33321292,Figen,,Rocky Fork-Blacklick,40.06225,-82.85429,Private room,60,1,178,2022-09-12,2.00,2,360,22,2019-2706
6416756,Your home in Columbus 43230,33321292,Figen,,Rocky Fork-Blacklick,40.06193,-82.85436,Private room,69,1,139,2022-08-21,1.57,2,361,21,2019-2706
6423005,The Perfect Pad All To Yourself,66518998,Carli,,Near North/University,39.97388,-83.00451,Entire home/apt,199,1,223,2022-09-04,2.58,1,337,49,2021-1791
6883920,SERENITY in NW Columbus!,11363908,Brenda And Steven,,Hayden Run,40.06489,-83.11963,Entire home/apt,180,2,50,2022-07-30,0.57,1,264,10,
6924472,Secluded 3rd floor bedroom near OSU & Short North!,24519205,Darrin,,Near North/University,39.992,-83.01084,Private room,62,1,176,2022-09-09,2.13,3,339,78,2019-1235
7061726,"Comfy II, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98695,-83.00125,Entire home/apt,146,1,379,2022-09-05,4.34,12,340,53,2021-3069
7474783,"Charming, Historic Home Close to Downtown Columbus",39147286,David,,Near East,39.96281,-82.94999,Private room,70,1,30,2022-09-11,5.20,1,351,30,2021-3126
7564891,Tulsa #3 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,54,30,14,2022-03-14,0.16,9,275,1,
7617016,Tulsa #1 Shared House Master Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,61,30,12,2022-03-31,0.14,9,326,1,
7637541,Tulsa #4 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06466,-82.98839,Private room,54,30,15,2021-03-28,0.20,9,323,0,
7771588,1BR Apt. on Clintonville Ravine,7785489,Nancy,,Near North/University,40.01904,-83.00172,Entire home/apt,90,3,112,2022-09-09,1.33,3,297,18,2019-1273
7909479,Beautiful condo in downtown,41706311,David,,Downtown,39.96581,-82.99891,Entire home/apt,107,30,27,2015-12-20,0.31,1,365,0,
8507141,"Tulsa #5 Bedroom, large",39662644,Paul,,Northland,40.0615,-82.98872,Private room,54,30,15,2022-01-03,0.28,9,292,1,
8507146,Tulsa #6 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,54,30,18,2022-01-15,0.24,9,255,2,
8578379,Beautiful Olde Towne East Home close to Downtown,44880235,Regan,,Near East,39.96145,-82.97216,Private room,32,1,590,2022-09-16,6.95,2,299,119,2019-1829
8662090,Classic Second-Floor Olde Town East-Full Apartment,1583338,Jay & Michael,,Near East,39.96661,-82.96441,Entire home/apt,82,2,163,2022-08-14,1.95,1,83,23,2019-2372
8688424,Fabulous apartment inside beautiful home,35480169,Margaret,,Northwest,40.06366,-83.09885,Entire home/apt,79,2,66,2022-09-17,0.78,1,349,25,2019-2111
8702043,Big 3 Story House Downtown Columbus,28695156,Miles,,Near North/University,39.98382,-83.01635,Entire home/apt,314,2,154,2022-08-14,1.84,3,347,12,2018-1841
9169196,Victorian Home in the Short North Neighborhood,1815644,Amanda,,Near North/University,39.98908,-83.00898,Entire home/apt,244,2,40,2022-09-18,0.56,1,85,8,2019-2063
