name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394,-83.00321,Entire home/apt,213,1,605,2022-09-11,4.54,3,161,110,2022-2475,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Private queen bedroom 1 - N.Campus,2350409,Edward,,Near North/University,40.01243,-83.00986,Private room,29,3,123,2022-08-29,1,3,263,16,2019-1344,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96086,-82.97968,Private room,100,2,272,2022-09-18,2.21,1,353,30,2019-1230,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,37,1,286,2022-09-04,2.45,9,359,45,2019-1314,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,72,1,63,2022-06-19,0.57,9,352,7,2019-1314,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Hannah's Haus**Prime location in German Village**,235498219,Jessica,,Near South,39.95223,-82.99557,Entire home/apt,193,2,51,2022-09-11,4.41,1,130,51,,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Comfortable rooms in Clintonville 1,5707733,Russell And Douglas,,Clintonville,40.03828,-83.01838,Private room,85,1,209,2022-08-28,1.86,2,336,30,2019-2104,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.947,-82.99074,Entire home/apt,241,3,162,2022-09-11,1.47,1,334,16,2019-1888,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Comfortable rooms in Clintonville 2,5707733,Russell And Douglas,,Clintonville,40.03689,-83.0183,Private room,85,1,161,2022-08-28,1.46,2,320,20,2019-2104,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
1 Single Bed in a Shared Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,40,1,45,2020-09-27,0.43,9,256,0,2019-1314,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
